prompt_id,version,status,task,path
PRM-ANL-IDENTITY-001,1.0.0,validated,product_identity_specification,02_PROMPT_SYSTEM/library/PRM-ANL-IDENTITY-001_v1.0.0.md
PRM-ANL-PRODUCT-001,1.0.0,validated,product_image_analysis,02_PROMPT_SYSTEM/library/PRM-ANL-PRODUCT-001_v1.0.0.md
PRM-ANL-SOURCE-001,1.0.0,validated,source_prompt_reverse_engineering,02_PROMPT_SYSTEM/library/PRM-ANL-SOURCE-001_v1.0.0.md
PRM-CD-IDEATE-001,1.0.0,validated,creative_direction_generation,02_PROMPT_SYSTEM/library/PRM-CD-IDEATE-001_v1.0.0.md
PRM-DIAG-FAILURE-001,1.0.0,validated,failure_diagnosis,02_PROMPT_SYSTEM/library/PRM-DIAG-FAILURE-001_v1.0.0.md
PRM-EXP-DESIGN-001,1.0.0,validated,experiment_design,02_PROMPT_SYSTEM/library/PRM-EXP-DESIGN-001_v1.0.0.md
PRM-IMG-KEYFRAME-001,1.0.0,validated,keyframe_generation,02_PROMPT_SYSTEM/library/PRM-IMG-KEYFRAME-001_v1.0.0.md
PRM-IMG-MULTIVIEW-001,1.0.0,validated,product_multiview_generation,02_PROMPT_SYSTEM/library/PRM-IMG-MULTIVIEW-001_v1.0.0.md
PRM-LRN-EXTRACT-001,1.0.0,validated,learning_extraction,02_PROMPT_SYSTEM/library/PRM-LRN-EXTRACT-001_v1.0.0.md
PRM-LRN-POSTMORTEM-001,1.0.0,validated,postmortem,02_PROMPT_SYSTEM/library/PRM-LRN-POSTMORTEM-001_v1.0.0.md
PRM-QA-KEYFRAME-001,1.0.0,validated,keyframe_QA,02_PROMPT_SYSTEM/library/PRM-QA-KEYFRAME-001_v1.0.0.md
PRM-QA-REFERENCE-001,1.0.0,validated,product_reference_QA,02_PROMPT_SYSTEM/library/PRM-QA-REFERENCE-001_v1.0.0.md
PRM-REF-PLAN-001,1.0.0,validated,product_reference_planning,02_PROMPT_SYSTEM/library/PRM-REF-PLAN-001_v1.0.0.md
PRM-SCN-CRITIQUE-001,1.0.0,validated,scenario_critique,02_PROMPT_SYSTEM/library/PRM-SCN-CRITIQUE-001_v1.0.0.md
PRM-SCN-IDEATE-001,1.0.0,validated,scenario_ideation,02_PROMPT_SYSTEM/library/PRM-SCN-IDEATE-001_v1.0.0.md
PRM-SCN-SELECT-001,1.0.0,validated,scenario_selection,02_PROMPT_SYSTEM/library/PRM-SCN-SELECT-001_v1.0.0.md
PRM-STB-IMAGE-001,1.0.0,validated,storyboard_image_generation,02_PROMPT_SYSTEM/library/PRM-STB-IMAGE-001_v1.0.0.md
PRM-STB-SPEC-001,1.0.0,validated,storyboard_specification,02_PROMPT_SYSTEM/library/PRM-STB-SPEC-001_v1.0.0.md
PRM-VID-CRITIQUE-001,1.0.0,validated,video_prompt_critique,02_PROMPT_SYSTEM/library/PRM-VID-CRITIQUE-001_v1.0.0.md
PRM-VID-PREFLIGHT-001,1.0.0,validated,video_preflight,02_PROMPT_SYSTEM/library/PRM-VID-PREFLIGHT-001_v1.0.0.md
PRM-VID-QA-001,1.0.0,validated,generation_evaluation,02_PROMPT_SYSTEM/library/PRM-VID-QA-001_v1.0.0.md
PRM-VID-REPAIR-001,1.0.0,validated,repair_prompt_generation,02_PROMPT_SYSTEM/library/PRM-VID-REPAIR-001_v1.0.0.md
PRM-VID-SYNTH-001,1.0.0,validated,video_prompt_synthesis,02_PROMPT_SYSTEM/library/PRM-VID-SYNTH-001_v1.0.0.md
